,City,Latitude,Longitude,Temperature,Cloudiness,Humidity,Wind,Country,Date
100,Port Elizabeth,-33.918,25.5701,66.2,75,94,13.8,ZA,1616264502
101,Barrow,71.2906,-156.7887,-14.8,1,91,3.44,US,1616264566
102,Tongchuanshi,35.0806,109.0897,38.46,100,28,15.35,CN,1616264566
103,Mount Isa,-20.7333,139.5,75.2,100,94,5.91,AU,1616264388
104,Kapaa,22.0752,-159.319,71.6,40,78,19.57,US,1616264429
105,Saint George,37.1041,-113.5841,68.0,40,34,29.93,US,1616264567
106,Ilulissat,69.2167,-51.1,23.0,40,54,4.61,GL,1616264568
107,Salalah,17.0151,54.0924,78.8,0,73,3.44,OM,1616264568
108,Vanavara,60.34,102.2797,-7.92,79,90,8.61,RU,1616264568
109,Shumskiy,54.8318,99.1328,23.72,98,76,4.54,RU,1616264569
110,Cherskiy,68.75,161.3,-22.45,0,87,4.34,RU,1616264569
111,Havøysund,70.9963,24.6622,32.0,75,74,12.66,NO,1616264570
112,Bruneck,46.7958,11.9364,28.4,0,26,5.3,IT,1616264570
113,Manado,1.487,124.8455,77.0,20,94,2.91,ID,1616264571
114,Indianola,41.3581,-93.5574,55.0,1,37,13.8,US,1616264571
115,Kumul,42.8,93.45,38.08,0,17,6.98,CN,1616264345
116,Oranjestad,12.524,-70.027,84.2,75,65,17.27,AW,1616264572
117,Puerto Caimito,8.8667,-79.7167,90.0,20,62,8.05,PA,1616264572
118,Port Lincoln,-34.7333,135.8667,68.0,21,77,8.12,AU,1616264573
119,Port Alfred,-33.5906,26.891,69.69,14,91,10.09,ZA,1616264573
120,Ahtopol,42.1,27.95,43.97,100,76,10.65,BG,1616264574
121,Shelburne,44.0787,-80.2041,55.99,0,34,9.01,CA,1616264574
122,Puerto Escondido,15.85,-97.0667,86.83,2,50,8.5,MX,1616264574
123,Cidreira,-30.1811,-50.2056,79.27,11,76,18.43,BR,1616264379
124,Hofn,64.2539,-15.2082,42.4,100,56,5.84,IS,1616264575
125,Grindavik,63.8424,-22.4338,41.0,90,87,24.16,IS,1616264575
126,Port-Cartier,50.0334,-66.8654,26.6,40,63,6.91,CA,1616264576
127,Bulgan,48.8125,103.5347,16.3,78,68,4.74,MN,1616264576
128,Wenatchee,47.4235,-120.3103,48.99,75,53,4.0,US,1616264576
129,Bajos de Haina,18.4154,-70.0332,87.8,40,62,9.22,DO,1616264577
130,Saint-Philippe,-21.3585,55.7679,80.6,0,74,13.8,RE,1616264577
131,Ostrovnoy,68.0531,39.5131,19.02,77,91,17.98,RU,1616264578
132,Amuntai,-2.4177,115.2494,75.69,100,96,1.05,ID,1616264578
133,Dunedin,-45.8742,170.5036,55.99,17,80,1.01,NZ,1616264578
134,Ouésso,1.6136,16.0517,71.67,100,91,3.47,CG,1616264579
135,Lagoa,39.05,-27.9833,58.26,50,80,13.69,PT,1616264579
136,Ginda,30.6945,78.4932,53.65,8,26,7.27,IN,1616264580
137,Kirakira,-10.4544,161.9205,79.45,100,82,5.77,SB,1616264580
138,Jiayuguan City,39.8167,98.3,27.72,55,30,5.66,CN,1616264580
139,Nikolskoye,59.7035,30.7861,28.0,90,74,17.9,RU,1616264581
140,Paamiut,61.994,-49.6678,31.08,82,94,3.51,GL,1616264581
141,Thompson,55.7435,-97.8558,50.0,20,40,12.66,CA,1616264582
142,Río Gallegos,-51.6226,-69.2181,57.2,75,30,31.07,AR,1616264582
143,Riva,38.9521,-76.578,53.01,1,29,6.91,US,1616264582
144,Atambua,-9.1061,124.8925,74.8,73,84,2.1,ID,1616264583
145,Rocha,-34.4833,-54.3333,83.32,90,63,8.1,UY,1616264584
146,Maykor,59.0059,55.88,20.97,97,92,8.72,RU,1616264414
147,Palmer,42.1584,-72.3287,55.99,20,20,17.27,US,1616264585
148,Kahului,20.8947,-156.47,73.4,20,78,16.11,US,1616264585
149,São João da Barra,-21.6403,-41.0511,86.0,20,54,13.8,BR,1616264587
150,Clyde River,70.4692,-68.5914,-11.2,1,70,5.75,CA,1616264331
151,Honiara,-9.4333,159.95,77.27,97,82,3.18,SB,1616264587
152,Lata,40.1629,-8.3327,57.0,0,33,8.99,PT,1616264588
153,Mackay,-21.15,149.2,77.0,75,94,9.22,AU,1616264588
154,Mata,40.683,-7.4592,54.0,0,27,7.0,PT,1616264589
155,Guerrero Negro,27.9769,-114.0611,71.15,39,52,13.94,MX,1616264589
156,Bluff,-46.6,168.3333,53.01,58,95,4.0,NZ,1616264589
157,Arona,28.0996,-16.681,66.99,75,59,13.8,ES,1616264590
158,Ponta Delgada,37.7333,-25.6667,59.0,75,72,11.5,PT,1616264590
159,Kaitangata,-46.2817,169.8464,57.0,51,85,4.0,NZ,1616264590
160,Hervey Bay,-25.2986,152.8535,73.99,57,91,14.65,AU,1616264591
161,Basco,20.4487,121.9702,78.46,47,86,16.26,PH,1616264591
162,Shingū,33.7333,135.9833,62.94,100,97,10.18,JP,1616264591
163,Uray,60.1247,64.7758,17.6,96,94,8.61,RU,1616264592
164,Fortuna,40.5982,-124.1573,54.0,20,93,5.75,US,1616264560
165,Kuytun,54.3419,101.5036,23.68,100,80,6.26,RU,1616264592
166,Fukuechō,32.6881,128.8419,57.99,100,89,20.67,JP,1616264593
167,Balkanabat,39.5108,54.3671,53.64,10,52,5.68,TM,1616264593
168,Chicama,-7.8447,-79.1469,75.2,85,78,11.5,PE,1616264594
169,Sistranda,63.7256,8.834,39.2,40,65,34.52,NO,1616264594
170,Marsá Maţrūḩ,31.3525,27.2453,62.6,0,88,14.97,EG,1616264595
171,Kiama,-34.6833,150.8667,71.01,100,80,14.0,AU,1616264595
172,Opuwo,-18.0607,13.84,75.29,97,63,4.85,NA,1616264595
173,Chui,-33.6971,-53.4616,83.23,44,60,10.09,UY,1616264596
174,Haderslev,55.2538,9.4898,41.0,75,100,19.57,DK,1616264596
175,Mumford,5.2618,-0.759,82.45,21,76,10.25,GH,1616264599
176,Hasaki,35.7333,140.8333,57.2,75,94,3.44,JP,1616264599
177,Ossora,59.2353,163.0719,2.16,100,91,3.27,RU,1616264600
178,Giohar,2.7809,45.5005,79.93,17,79,16.06,SO,1616264600
179,Elmina,5.0898,-1.348,82.58,33,76,10.25,GH,1616264600
180,Privodino,61.0781,46.5044,15.31,100,95,4.25,RU,1616264601
181,Linxia Chengguanzhen,35.6003,103.2064,30.16,100,49,1.5,CN,1616264601
182,The Valley,18.217,-63.0578,81.0,20,65,17.27,AI,1616264602
183,Karratha,-20.7377,116.8463,75.87,0,56,13.06,AU,1616264603
184,Lyuban',52.7985,28.0048,27.73,83,83,7.63,BY,1616264603
185,Kasongo,-4.45,26.6667,73.18,90,83,2.95,CD,1616264604
186,Medina del Campo,41.3124,-4.9141,43.0,0,45,23.02,ES,1616264604
187,Mâncio Lima,-7.6142,-72.8958,84.2,75,74,5.75,BR,1616264604
188,Sakaraha,-22.9,44.5333,73.85,69,84,3.83,MG,1616264605
189,Aksu,41.1231,80.2644,42.96,67,40,5.77,CN,1616264605
190,Jacobabad,28.281,68.4388,78.85,95,32,7.2,PK,1616264526
191,Kavaratti,10.5669,72.642,83.19,0,67,7.16,IN,1616264315
192,Xinmin,41.9908,122.8253,33.8,0,69,8.95,CN,1616264606
193,Broken Hill,-31.95,141.4333,68.0,100,64,12.66,AU,1616264606
194,Kyshtovka,56.555,76.6271,34.27,100,95,15.1,RU,1616264607
195,Fort-Shevchenko,44.5086,50.263,37.0,40,86,3.51,KZ,1616264607
196,Pilot Butte,50.4668,-104.4178,48.2,100,46,18.41,CA,1616264609
197,Banda Aceh,5.5577,95.3222,80.28,100,78,4.43,ID,1616264609
198,Westport,41.1415,-73.3579,54.0,1,34,12.66,US,1616264609
199,Pacific Grove,36.6177,-121.9166,55.4,1,62,6.91,US,1616264320
200,Longyearbyen,78.2186,15.6401,17.6,40,67,11.5,SJ,1616264610
201,Tilichiki,60.4667,166.1,-16.85,63,89,7.38,RU,1616264610
202,Rayong,12.8333,101.4333,82.0,8,84,4.94,TH,1616264610
203,San Ramon,37.7799,-121.978,55.99,20,58,11.5,US,1616264481
204,Sisimiut,66.9395,-53.6735,24.12,84,76,8.95,GL,1616264611
205,Geraldton,-28.7667,114.6,66.2,1,68,5.75,AU,1616264611
206,Manavālakurichi,8.1333,77.3,84.2,20,74,3.0,IN,1616264612
207,Pizhanka,57.4604,48.542,20.66,100,94,9.19,RU,1616264612
208,Eskilstuna,59.3666,16.5077,42.8,75,70,8.05,SE,1616264613
209,São Filipe,14.8961,-24.4956,73.89,44,65,7.02,CV,1616264613
210,Adrar,20.5022,-10.0711,82.35,0,7,9.57,MR,1616264613
211,Khor,47.8861,134.9464,28.8,100,97,7.2,RU,1616264521
212,Noumea,-22.2763,166.4572,69.8,0,83,10.27,NC,1616264614
213,Dawei,14.0833,98.2,74.48,0,80,2.57,MM,1616264586
214,Stokmarknes,68.5646,14.9108,36.0,100,82,18.01,NO,1616264615
215,Coquimbo,-29.9533,-71.3436,68.0,0,49,17.27,CL,1616264615
216,Esperance,-33.8667,121.9,60.8,13,88,10.36,AU,1616264616
217,Tautira,-17.7333,-149.15,84.2,75,65,4.61,PF,1616264616
218,Xuchang,34.0167,113.8167,50.0,99,46,6.71,CN,1616264616
219,Kristiansund,63.1115,7.732,39.2,90,65,24.16,NO,1616264617
220,Lorengau,-2.0226,147.2712,82.74,100,73,5.12,PG,1616264617
221,Tombouctou,20.0,-3.0,86.2,0,10,8.43,ML,1616264617
222,Bustamante,26.5333,-100.5,69.8,0,39,7.4,MX,1616264618
223,Victor Harbor,-35.5667,138.6167,73.99,20,90,6.64,AU,1616264618
224,Aklavik,68.2191,-135.0107,-11.2,40,70,3.44,CA,1616264619
225,Itoman,26.1247,127.6694,71.6,75,94,10.36,JP,1616264619
226,Buchanan,5.8808,-10.0467,84.2,75,79,8.25,LR,1616264353
227,Srednekolymsk,67.45,153.6833,-14.01,0,88,2.53,RU,1616264620
228,São Gabriel da Cachoeira,-0.1303,-67.0892,82.4,40,78,5.75,BR,1616264620
229,Kulhudhuffushi,6.6221,73.07,83.19,27,69,4.61,MV,1616264621
230,George,-33.963,22.4617,62.6,90,94,11.5,ZA,1616264621
231,Merauke,-8.4667,140.3333,78.31,100,85,5.01,ID,1616264621
232,Henties Bay,-22.116,14.2845,63.0,2,89,5.01,NA,1616264622
233,Sivas Province,39.7916,37.0019,35.6,75,93,9.22,TR,1616264375
234,Yenagoa,4.9247,6.2642,81.81,79,76,3.38,NG,1616264622
235,Cepu,-7.1475,111.5906,75.58,94,91,6.04,ID,1616264623
236,Saldanha,-33.0117,17.9442,62.6,0,67,12.66,ZA,1616264623
237,Kalmar,56.6616,16.3616,39.2,90,81,17.27,SE,1616264623
238,Lüderitz,-26.6481,15.1594,69.35,0,64,29.12,NA,1616264583
239,Ahipara,-35.1667,173.1667,55.58,2,84,7.38,NZ,1616264624
240,Isangel,-19.55,169.2667,71.6,20,94,7.87,VU,1616264624
241,Black River,18.0264,-77.8487,82.4,20,69,9.22,JM,1616264625
242,Erenhot,43.6475,111.9767,24.89,0,31,12.77,CN,1616264625
243,Álamos,27.0167,-108.9333,91.83,0,6,4.36,MX,1616264626
244,Betim,-19.9678,-44.1983,84.2,40,47,9.22,BR,1616264414
245,Port Hardy,50.6996,-127.4199,41.0,75,75,8.05,CA,1616264626
246,Muzhi,65.3667,64.6667,-10.86,100,97,12.73,RU,1616264627
247,Lucapa,-8.4192,20.7447,70.38,46,88,1.52,AO,1616264627
248,Dikson,73.5069,80.5464,-23.73,96,84,20.76,RU,1616264627
249,Rawson,-43.3002,-65.1023,66.13,53,46,16.31,AR,1616264381
250,Tigil',57.8,158.6667,1.11,95,97,3.33,RU,1616264628
251,Haines Junction,60.7522,-137.5108,-4.0,84,50,1.14,CA,1616264628
252,Pisco,-13.7,-76.2167,78.8,0,57,12.66,PE,1616264629
253,San Quintín,30.4833,-115.95,66.29,0,64,20.74,MX,1616264629
254,Andilamena,-17.0167,48.5833,64.98,59,95,3.85,MG,1616264629
255,George Town,5.4112,100.3354,84.99,20,78,2.3,MY,1616264630
256,Bereda,43.2686,-7.5406,45.0,2,58,7.0,ES,1616264630
257,Sawtell,-30.3833,153.1,70.0,90,94,4.61,AU,1616264631
258,Dhubri,26.0333,89.9667,74.98,0,32,4.09,IN,1616264631
259,Bowen,-20.0167,148.2333,75.2,75,94,9.22,AU,1616264631
260,Mana,5.6592,-53.7767,80.78,29,77,8.81,GF,1616264632
261,Mountain Home,43.133,-115.6912,48.2,75,53,24.16,US,1616264449
262,San Cristobal,7.7669,-72.225,80.6,40,78,9.22,VE,1616264632
263,Fort Frances,48.5999,-93.4003,55.4,1,35,12.66,CA,1616264586
264,Umluj,25.0213,37.2685,79.39,0,43,8.28,SA,1616264633
265,Māngrol,21.1167,70.1167,77.18,0,69,9.06,IN,1616264633
266,Mareeba,-17.0,145.4333,73.4,81,83,5.75,AU,1616264633
267,Brae,60.3964,-1.353,42.8,20,81,13.8,GB,1616264634
268,Province of Mantua,45.1667,10.7833,44.01,41,57,1.99,IT,1616264634
269,Santa Maria,-29.6842,-53.8069,93.2,75,46,10.36,BR,1616264634
270,Tiarei,-17.5333,-149.3333,84.2,75,65,4.61,PF,1616264460
271,Pangnirtung,66.1451,-65.7125,-13.0,1,70,2.62,CA,1616264635
272,Casablanca,33.5928,-7.6192,59.0,40,47,21.85,MA,1616264404
273,Cabedelo,-6.9811,-34.8339,84.2,75,65,14.97,BR,1616264635
274,Naryan-Mar,67.6713,53.087,-2.25,8,91,8.7,RU,1616264636
275,Huntsville,34.7304,-86.5861,61.0,1,38,10.36,US,1616264400
276,Mandera,3.9366,41.867,89.98,66,44,3.29,KE,1616264411
277,Jinchang,38.4953,102.1739,27.0,0,28,4.25,CN,1616264637
278,Chumikan,54.7183,135.315,12.67,72,89,4.68,RU,1616264637
279,Vila Franca do Campo,37.7167,-25.4333,59.0,75,72,11.5,PT,1616264371
280,Dzaoudzi,-12.7887,45.2699,80.6,0,89,3.44,YT,1616264639
281,Hithadhoo,-0.6,73.0833,83.26,100,69,7.87,MV,1616264639
282,Gizo Government Station,-8.103,156.8419,80.28,99,77,1.66,SB,1616264639
283,Thayetmyo,19.3167,95.1833,73.08,64,47,2.28,MM,1616264640
284,College,64.8569,-147.8028,3.0,1,64,9.22,US,1616264640
285,Siocon,7.7061,122.1353,79.56,92,85,6.49,PH,1616264640
286,Lavrentiya,65.5833,-171.0,-4.07,100,85,14.34,RU,1616264641
287,Mahébourg,-20.4081,57.7,78.8,75,89,12.66,MU,1616264641
288,Iskateley,67.6803,53.1512,-2.43,9,91,8.68,RU,1616264641
289,Broome,42.2506,-75.833,53.01,1,29,12.66,US,1616264642
290,Dingle,10.9995,122.6711,77.23,3,85,6.38,PH,1616264642
291,Kalabo,-14.97,22.6814,69.8,24,87,3.47,ZM,1616264643
292,Takoradze,4.8845,-1.7554,82.26,0,74,10.02,GH,1616264643
293,Tocache,-8.1842,-76.5125,84.11,100,71,0.69,PE,1616264643
294,Los Llanos de Aridane,28.6585,-17.9182,66.2,75,59,13.8,ES,1616264644
295,Ponoka,52.6768,-113.5815,37.4,63,48,10.36,CA,1616264644
296,Gisborne,-38.6533,178.0042,55.99,85,94,11.01,NZ,1616264645
297,St. George's,12.0564,-61.7485,82.4,20,69,20.71,GD,1616264432
298,Vaitape,-16.5167,-151.75,82.67,44,64,5.3,PF,1616264645
299,Ibrā’,22.6906,58.5334,78.04,44,26,8.57,OM,1616264646
300,Aripuanã,-9.1667,-60.6333,76.39,100,96,2.01,BR,1616264646
301,Narsaq,60.9167,-46.05,35.6,75,87,4.61,GL,1616264646
302,Jieshi,22.8134,115.8257,77.0,8,82,1.23,CN,1616264647
303,Zhigansk,66.7697,123.3711,14.45,100,93,27.38,RU,1616264647
304,Belogorsk,50.9158,128.4611,19.58,100,83,6.51,RU,1616264531
305,Mabai,23.0128,104.4508,62.37,91,97,2.77,CN,1616264648
306,Ziarat,30.3823,67.7282,50.94,95,51,7.18,PK,1616264648
307,Ulaanbaatar,47.9077,106.8832,5.0,0,66,2.24,MN,1616264648
308,Liberal,37.0431,-100.921,62.6,1,39,28.77,US,1616264649
309,Conde,-7.2597,-34.9075,84.2,75,65,14.97,BR,1616264430
310,Maputo,-25.9653,32.5892,80.6,0,74,6.91,MZ,1616264649
311,Flinders,-34.5833,150.8552,71.01,100,87,5.01,AU,1616264482
312,Yangi Marg`ilon,40.4272,71.7189,51.8,100,76,11.5,UZ,1616264650
313,Mayo,38.8876,-76.5119,53.01,1,29,6.91,US,1616264650
314,Fairview Heights,38.5889,-89.9904,55.99,1,50,4.61,US,1616264651
315,Anaconda,46.1285,-112.9423,36.0,90,69,4.03,US,1616264651
316,Yakeshi,49.2833,120.7333,10.72,46,88,4.72,CN,1616264652
317,Winburg,-28.518,27.0093,60.31,88,78,14.43,ZA,1616264652
318,Vao,-22.6667,167.4833,75.7,71,75,18.86,NC,1616264652
319,Khoy,38.5504,44.9535,48.31,100,44,6.33,IR,1616264653
320,Hualmay,-11.0964,-77.6139,78.17,25,63,10.4,PE,1616264653
321,Tazmalt,36.3868,4.3989,47.14,60,83,5.77,DZ,1616264653
322,Udachny,66.4167,112.4,-23.39,100,94,34.38,RU,1616264654
323,Tambacounda,13.7539,-13.7586,102.2,0,44,6.91,SN,1616264654
324,Birnin Kebbi,12.4539,4.1975,94.71,87,9,7.58,NG,1616264655
325,Ushtobe,45.2514,77.9838,37.45,100,82,3.2,KZ,1616264655
326,Xiangfan,32.0422,112.1448,50.88,97,55,11.7,CN,1616264467
327,Baiima,8.1,-11.85,95.04,25,30,2.06,SL,1616264656
328,Lucea,18.451,-78.1736,82.4,20,69,9.22,JM,1616264656
329,Pacifica,37.6138,-122.4869,55.99,1,66,12.66,US,1616264656
330,Cascais,38.6979,-9.4215,61.0,0,51,14.97,PT,1616264657
331,Bowral,-34.4667,150.4167,71.01,100,87,4.0,AU,1616264657
332,Myitkyina,25.3833,97.4,72.77,99,32,1.99,MM,1616264658
333,Nombre de Dios,23.85,-104.2333,69.8,1,14,2.3,MX,1616264658
334,Wanning,18.8003,110.3967,74.25,82,92,4.12,CN,1616264658
335,Camacupa,-12.0167,17.4833,65.01,54,89,2.59,AO,1616264659
336,Rundu,-17.9333,19.7667,73.06,60,62,3.89,NA,1616264659
337,Bereket,39.2446,55.5154,53.91,17,55,7.14,TM,1616264660
338,Necochea,-38.5473,-58.7368,70.0,100,68,7.4,AR,1616264660
339,Mount Gambier,-37.8333,140.7667,59.0,94,88,5.75,AU,1616264660
340,Stratoni,40.5141,23.8247,45.0,100,89,7.0,GR,1616264661
341,Fraser,42.5392,-82.9494,52.0,1,43,6.91,US,1616264661
342,Bārmer,25.75,71.3833,79.75,0,21,7.2,IN,1616264662
343,Oktyabr'skoye,43.0645,44.7417,39.2,92,81,8.95,RU,1616264662
344,Inuvik,68.3499,-133.7218,-11.2,90,77,1.14,CA,1616264662
345,Eydhafushi,5.1033,73.0708,83.01,4,70,4.81,MV,1616264663
346,Soyo,-6.1349,12.3689,81.27,79,82,7.54,AO,1616264663
347,Lompoc,34.6391,-120.4579,57.99,1,47,12.66,US,1616264442
348,Nichinan,31.6,131.3667,60.01,87,100,3.0,JP,1616264664
349,Ambulu,-8.345,113.6058,76.21,55,87,2.89,ID,1616264664
350,Tanout,14.9709,8.8879,92.79,23,11,8.93,NE,1616264664
351,Collie,-33.3667,116.15,67.59,0,38,3.53,AU,1616264665
352,Rafrāf,37.1904,10.1837,55.4,75,94,12.66,TN,1616264665
353,Grootfontein,-19.5667,18.1167,69.03,55,72,3.2,NA,1616264665
354,Kibala,9.1104,18.3463,93.2,0,33,0.89,TD,1616264666
355,San Patricio,28.017,-97.5169,69.8,75,52,10.36,US,1616264666
356,Henderson,36.0397,-114.9819,69.8,20,28,24.16,US,1616264564
357,Bambous Virieux,-20.3428,57.7575,81.0,75,89,12.66,MU,1616264667
